"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87",".parentsUntil() - get parent DOM elements from DOM elements until el","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","232",".should() - make an assertion about the current subject","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Implicit Assertions","",""
"","165","cy.getAllLocalStorage() - get all data in localStorage for all origins","","Wed Apr 29 22:21:27 UTC 2026","passed","Wed Apr 29 22:21:27 UTC 2026","","Local Storage / Session Storage","",""
"","87",".next() - get next sibling DOM element","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","91","can throw any error","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Explicit Assertions","",""
"","315",".as() - alias a DOM element for later use","","Wed Apr 29 22:20:30 UTC 2026","passed","Wed Apr 29 22:20:30 UTC 2026","","Aliasing","",""
"","91",".prev() - get previous sibling DOM element","","Wed Apr 29 22:21:33 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","713","cy.go() - go back or forward in the browser's history","","Wed Apr 29 22:21:06 UTC 2026","passed","Wed Apr 29 22:21:06 UTC 2026","","Navigation","",""
"","101","finds element by class name regex","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Explicit Assertions","",""
"","92",".prevUntil() - get all previous sibling DOM elements until el","","Wed Apr 29 22:21:33 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","365",".end() - end the command chain","","Wed Apr 29 22:21:00 UTC 2026","passed","Wed Apr 29 22:21:00 UTC 2026","","Misc","",""
"","393",".as() - alias a route for later use","","Wed Apr 29 22:20:30 UTC 2026","passed","Wed Apr 29 22:20:30 UTC 2026","","Aliasing","",""
"","164","yields the value yielded by the last Cypress command inside","Connectors","Wed Apr 29 22:20:41 UTC 2026","passed","Wed Apr 29 22:20:41 UTC 2026","",".then()","",""
"","90","matches unknown text between two elements","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:35 UTC 2026","","Explicit Assertions","",""
"","3530",".type() - type into a DOM element","","Wed Apr 29 22:20:14 UTC 2026","passed","Wed Apr 29 22:20:18 UTC 2026","","Actions","",""
"","242","can filter for uncompleted tasks","example to-do app","Wed Apr 29 22:20:10 UTC 2026","passed","Wed Apr 29 22:20:10 UTC 2026","","with a checked task","",""
"","87",".siblings() - get all sibling DOM elements","","Wed Apr 29 22:21:33 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","198","Cypress.Blob - blob utilities and base64 string conversion","","Wed Apr 29 22:21:37 UTC 2026","passed","Wed Apr 29 22:21:37 UTC 2026","","Utilities","",""
"","204","cy.request() - verify response using BDD syntax","","Wed Apr 29 22:21:11 UTC 2026","passed","Wed Apr 29 22:21:11 UTC 2026","","Network Requests","",""
"","92",".find() - get descendant DOM elements of the selector","","Wed Apr 29 22:21:31 UTC 2026","passed","Wed Apr 29 22:21:31 UTC 2026","","Traversal","",""
"","357",".submit() - submit a form","","Wed Apr 29 22:20:19 UTC 2026","passed","Wed Apr 29 22:20:19 UTC 2026","","Actions","",""
"","87","expect - make an assertion about a specified subject","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Explicit Assertions","",""
"","70","Get underlying OS name","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.platform","",""
"","99",".its() - get properties on the current subject","","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:40 UTC 2026","","Connectors","",""
"","1103","Cypress.Promise - instantiate a bluebird promise","","Wed Apr 29 22:21:37 UTC 2026","passed","Wed Apr 29 22:21:38 UTC 2026","","Utilities","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","","Wed Apr 29 22:20:45 UTC 2026","passed","Wed Apr 29 22:20:45 UTC 2026","","Cookies","",""
"","152","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","","Wed Apr 29 22:21:27 UTC 2026","passed","Wed Apr 29 22:21:28 UTC 2026","","Local Storage / Session Storage","",""
"","134",".trigger() - trigger an event on a DOM element","","Wed Apr 29 22:20:24 UTC 2026","passed","Wed Apr 29 22:20:24 UTC 2026","","Actions","",""
"","187",".add() - create a custom command","Cypress APIs","Wed Apr 29 22:20:48 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.Commands","",""
"","115","cy.contains() - query DOM elements with matching content","","Wed Apr 29 22:21:16 UTC 2026","passed","Wed Apr 29 22:21:16 UTC 2026","","Querying","",""
"","71","Control what is printed to the Command Log","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.log","",""
"","115",".scrollIntoView() - scroll an element into view","","Wed Apr 29 22:20:24 UTC 2026","passed","Wed Apr 29 22:20:24 UTC 2026","","Actions","",""
"","750","cy.screenshot() - take a screenshot","Misc","Wed Apr 29 22:21:02 UTC 2026","passed","Wed Apr 29 22:21:02 UTC 2026","","Cypress.Screenshot","",""
"","241","cy.get() - query DOM elements","","Wed Apr 29 22:21:15 UTC 2026","passed","Wed Apr 29 22:21:15 UTC 2026","","Querying","",""
"","782","cy.exec() - execute a system command","","Wed Apr 29 22:21:00 UTC 2026","passed","Wed Apr 29 22:21:01 UTC 2026","","Misc","",""
"","95","assert - assert shape of an object","Assertions","Wed Apr 29 22:20:35 UTC 2026","passed","Wed Apr 29 22:20:35 UTC 2026","","Explicit Assertions","",""
"","93",".first() - get first DOM element","","Wed Apr 29 22:21:31 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","88","cy.root() - query the root DOM element","","Wed Apr 29 22:21:16 UTC 2026","passed","Wed Apr 29 22:21:16 UTC 2026","","Querying","",""
"","105",".and() - chain multiple assertions together","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Implicit Assertions","",""
"","86","Get and set configuration options","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.config()","",""
"","108","cy.location() - get window.location","","Wed Apr 29 22:20:57 UTC 2026","passed","Wed Apr 29 22:20:57 UTC 2026","","Location","",""
"","748",".uncheck() - uncheck a checkbox element","","Wed Apr 29 22:20:22 UTC 2026","passed","Wed Apr 29 22:20:23 UTC 2026","","Actions","",""
"","2120","cy.scrollTo() - scroll the window or element to a position","","Wed Apr 29 22:20:24 UTC 2026","passed","Wed Apr 29 22:20:26 UTC 2026","","Actions","",""
"","238","can delete all completed tasks","example to-do app","Wed Apr 29 22:20:11 UTC 2026","passed","Wed Apr 29 22:20:11 UTC 2026","","with a checked task","",""
"","204","cy.request() - pass result to the second request","","Wed Apr 29 22:21:11 UTC 2026","passed","Wed Apr 29 22:21:11 UTC 2026","","Network Requests","",""
"","81","Get environment variables","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.env()","",""
"","190","cy.wait() - wait for a specific route","","Wed Apr 29 22:21:51 UTC 2026","passed","Wed Apr 29 22:21:52 UTC 2026","","Waiting","",""
"","162","cy.writeFile() - write to a file","","Wed Apr 29 22:20:53 UTC 2026","passed","Wed Apr 29 22:20:53 UTC 2026","","Files","",""
"","72","Get current spec information","Cypress APIs","Wed Apr 29 22:20:50 UTC 2026","passed","Wed Apr 29 22:20:50 UTC 2026","","Cypress.spec","",""
"","1590","retries the should callback until assertions pass","Assertions","Wed Apr 29 22:20:35 UTC 2026","passed","Wed Apr 29 22:20:36 UTC 2026","","Explicit Assertions","",""
"","113",".debug() - enable or disable debugging","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.Cookies","",""
"","99",".closest() - get closest ancestor DOM element","","Wed Apr 29 22:21:31 UTC 2026","passed","Wed Apr 29 22:21:31 UTC 2026","","Traversal","",""
"","101","cy.title() - get the title","","Wed Apr 29 22:21:55 UTC 2026","passed","Wed Apr 29 22:21:55 UTC 2026","","Window","",""
"","373","cy.reload() - reload the page","","Wed Apr 29 22:21:06 UTC 2026","passed","Wed Apr 29 22:21:07 UTC 2026","","Navigation","",""
"","176",".rightclick() - right click on a DOM element","","Wed Apr 29 22:20:21 UTC 2026","passed","Wed Apr 29 22:20:21 UTC 2026","","Actions","",""
"","81","Cypress.minimatch - test out glob patterns against strings","","Wed Apr 29 22:21:37 UTC 2026","passed","Wed Apr 29 22:21:37 UTC 2026","","Utilities","",""
"","167","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","","Wed Apr 29 22:21:27 UTC 2026","passed","Wed Apr 29 22:21:27 UTC 2026","","Local Storage / Session Storage","",""
"","179","can check off an item as completed","","Wed Apr 29 22:20:10 UTC 2026","passed","Wed Apr 29 22:20:10 UTC 2026","","example to-do app","",""
"","74","Get current version of Cypress being run","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:50 UTC 2026","","Cypress.version","",""
"","457",".clear() - clears an input or textarea element","","Wed Apr 29 22:20:18 UTC 2026","passed","Wed Apr 29 22:20:19 UTC 2026","","Actions","",""
"","115","cy.getAllCookies() - get all browser cookies","","Wed Apr 29 22:20:45 UTC 2026","passed","Wed Apr 29 22:20:45 UTC 2026","","Cookies","",""
"","320","cy.visit() - visit a remote url","","Wed Apr 29 22:21:07 UTC 2026","passed","Wed Apr 29 22:21:07 UTC 2026","","Navigation","",""
"","1808",".click() - click on a DOM element","","Wed Apr 29 22:20:19 UTC 2026","passed","Wed Apr 29 22:20:21 UTC 2026","","Actions","",""
"","169","cy.clock() - control time in the browser","","Wed Apr 29 22:21:23 UTC 2026","passed","Wed Apr 29 22:21:23 UTC 2026","","Spies, Stubs, and Clock","",""
"","93",".prevAll() - get all previous sibling DOM elements","","Wed Apr 29 22:21:33 UTC 2026","passed","Wed Apr 29 22:21:33 UTC 2026","","Traversal","",""
"","98","cy.clearAllCookies() - clear all browser cookies","","Wed Apr 29 22:20:45 UTC 2026","passed","Wed Apr 29 22:20:45 UTC 2026","","Cookies","",""
"","428","cy.clearLocalStorage() - clear all data in localStorage for the current origin","","Wed Apr 29 22:21:26 UTC 2026","passed","Wed Apr 29 22:21:27 UTC 2026","","Local Storage / Session Storage","",""
"","80",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.dom","",""
"","81","yields the returned value to the next command","Connectors","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:40 UTC 2026","",".then()","",""
"","78","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Wed Apr 29 22:21:02 UTC 2026","passed","Wed Apr 29 22:21:02 UTC 2026","","Cypress.Screenshot","",""
"","102",".within() - query DOM elements within a specific element","","Wed Apr 29 22:21:16 UTC 2026","passed","Wed Apr 29 22:21:16 UTC 2026","","Querying","",""
"","381","can add new todo items","","Wed Apr 29 22:20:10 UTC 2026","passed","Wed Apr 29 22:20:10 UTC 2026","","example to-do app","",""
"","152","cy.request() with query parameters","","Wed Apr 29 22:21:11 UTC 2026","passed","Wed Apr 29 22:21:11 UTC 2026","","Network Requests","",""
"","89","pass your own callback function to should()","Assertions","Wed Apr 29 22:20:34 UTC 2026","passed","Wed Apr 29 22:20:34 UTC 2026","","Explicit Assertions","",""
"","236","cy.focused() - get the DOM element that has focus","","Wed Apr 29 22:21:01 UTC 2026","passed","Wed Apr 29 22:21:01 UTC 2026","","Misc","",""
"","81",".spread() - spread an array as individual args to callback function","","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:40 UTC 2026","","Connectors","",""
"","188","cy.request() - save response in the shared test context","","Wed Apr 29 22:21:11 UTC 2026","passed","Wed Apr 29 22:21:12 UTC 2026","","Network Requests","",""
"","239","Cypress._ - call a lodash method","","Wed Apr 29 22:21:36 UTC 2026","passed","Wed Apr 29 22:21:36 UTC 2026","","Utilities","",""
"","80","cy.wrap() - wrap an object","","Wed Apr 29 22:21:01 UTC 2026","passed","Wed Apr 29 22:21:02 UTC 2026","","Misc","",""
"","93","cy.setCookie() - set a browser cookie","","Wed Apr 29 22:20:45 UTC 2026","passed","Wed Apr 29 22:20:45 UTC 2026","","Cookies","",""
"","154","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","","Wed Apr 29 22:21:27 UTC 2026","passed","Wed Apr 29 22:21:27 UTC 2026","","Local Storage / Session Storage","",""
"","121",".nextUntil() - get next sibling DOM elements until next el","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","93","cy.url() - get the current URL","","Wed Apr 29 22:20:57 UTC 2026","passed","Wed Apr 29 22:20:57 UTC 2026","","Location","",""
"","24","matches call arguments using Sinon matchers","","Wed Apr 29 22:21:23 UTC 2026","passed","Wed Apr 29 22:21:23 UTC 2026","","Spies, Stubs, and Clock","",""
"","407","cy.request() - make an XHR request","","Wed Apr 29 22:21:10 UTC 2026","passed","Wed Apr 29 22:21:11 UTC 2026","","Network Requests","",""
"","82","cy.stub() - create a stub and/or replace a function with stub","","Wed Apr 29 22:21:23 UTC 2026","passed","Wed Apr 29 22:21:23 UTC 2026","","Spies, Stubs, and Clock","",""
"","375","cy.intercept() - route responses to matching requests","","Wed Apr 29 22:21:12 UTC 2026","passed","Wed Apr 29 22:21:12 UTC 2026","","Network Requests","",""
"","80",".parent() - get parent DOM element from DOM elements","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","181","cy.getCookies() - get browser cookies for the current domain","","Wed Apr 29 22:20:44 UTC 2026","passed","Wed Apr 29 22:20:45 UTC 2026","","Cookies","",""
"","2532","cy.spy() retries until assertions pass","","Wed Apr 29 22:21:20 UTC 2026","passed","Wed Apr 29 22:21:22 UTC 2026","","Spies, Stubs, and Clock","",""
"","164","cy.window() - get the global window object","","Wed Apr 29 22:21:55 UTC 2026","passed","Wed Apr 29 22:21:55 UTC 2026","","Window","",""
"","84",".filter() - get DOM elements that match the selector","","Wed Apr 29 22:21:31 UTC 2026","passed","Wed Apr 29 22:21:31 UTC 2026","","Traversal","",""
"","233","cy.tick() - move time in the browser","","Wed Apr 29 22:21:23 UTC 2026","passed","Wed Apr 29 22:21:23 UTC 2026","","Spies, Stubs, and Clock","",""
"","446","displays two todo items by default","","Wed Apr 29 22:20:09 UTC 2026","passed","Wed Apr 29 22:20:10 UTC 2026","","example to-do app","",""
"","82",".last() - get last DOM element","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","4402","cy.wait() - wait for a specific amount of time","","Wed Apr 29 22:21:47 UTC 2026","passed","Wed Apr 29 22:21:51 UTC 2026","","Waiting","",""
"","91","cy.fixture() or require - load a fixture","","Wed Apr 29 22:20:53 UTC 2026","passed","Wed Apr 29 22:20:53 UTC 2026","","Files","",""
"","287","cy.fixture() - load a fixture","","Wed Apr 29 22:20:53 UTC 2026","passed","Wed Apr 29 22:20:53 UTC 2026","","Files","",""
"","585","best practices - selecting elements","","Wed Apr 29 22:21:16 UTC 2026","passed","Wed Apr 29 22:21:17 UTC 2026","","Querying","",""
"","155","cy.spy() - wrap a method in a spy","","Wed Apr 29 22:21:20 UTC 2026","passed","Wed Apr 29 22:21:20 UTC 2026","","Spies, Stubs, and Clock","",""
"","95",".nextAll() - get all next sibling DOM elements","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","88",".eq() - get a DOM element at a specific index","","Wed Apr 29 22:21:31 UTC 2026","passed","Wed Apr 29 22:21:31 UTC 2026","","Traversal","",""
"","2790","cy.viewport() - set the viewport size and dimension","","Wed Apr 29 22:21:41 UTC 2026","passed","Wed Apr 29 22:21:44 UTC 2026","","Viewport","",""
"","80","Get CPU architecture name of underlying OS","Cypress APIs","Wed Apr 29 22:20:49 UTC 2026","passed","Wed Apr 29 22:20:49 UTC 2026","","Cypress.arch","",""
"","824",".select() - select an option in a <select> element","","Wed Apr 29 22:20:23 UTC 2026","passed","Wed Apr 29 22:20:24 UTC 2026","","Actions","",""
"","169",".each() - iterate over an array of elements","","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:40 UTC 2026","","Connectors","",""
"","83","cy.document() - get the document object","","Wed Apr 29 22:21:55 UTC 2026","passed","Wed Apr 29 22:21:55 UTC 2026","","Window","",""
"","262","cy.getCookie() - get a browser cookie","","Wed Apr 29 22:20:44 UTC 2026","passed","Wed Apr 29 22:20:44 UTC 2026","","Cookies","",""
"","196",".dblclick() - double click on a DOM element","","Wed Apr 29 22:20:21 UTC 2026","passed","Wed Apr 29 22:20:21 UTC 2026","","Actions","",""
"","86",".invoke() - invoke a function on the current subject","","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:40 UTC 2026","","Connectors","",""
"","93","yields the original subject without return","Connectors","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:41 UTC 2026","",".then()","",""
"","174","cy.clearCookie() - clear a browser cookie","","Wed Apr 29 22:20:45 UTC 2026","passed","Wed Apr 29 22:20:45 UTC 2026","","Cookies","",""
"","86",".not() - remove DOM elements from set of DOM elements","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","234","can filter for completed tasks","example to-do app","Wed Apr 29 22:20:10 UTC 2026","passed","Wed Apr 29 22:20:11 UTC 2026","","with a checked task","",""
"","101","cy.readFile() - read file contents","","Wed Apr 29 22:20:53 UTC 2026","passed","Wed Apr 29 22:20:53 UTC 2026","","Files","",""
"","172","Cypress.$ - call a jQuery method","","Wed Apr 29 22:21:36 UTC 2026","passed","Wed Apr 29 22:21:37 UTC 2026","","Utilities","",""
"","195","cy.hash() - get the current URL hash","","Wed Apr 29 22:20:56 UTC 2026","passed","Wed Apr 29 22:20:57 UTC 2026","","Location","",""
"","35","cy.stub() matches depending on arguments","","Wed Apr 29 22:21:23 UTC 2026","passed","Wed Apr 29 22:21:23 UTC 2026","","Spies, Stubs, and Clock","",""
"","119",".focus() - focus on a DOM element","","Wed Apr 29 22:20:18 UTC 2026","passed","Wed Apr 29 22:20:18 UTC 2026","","Actions","",""
"","734",".check() - check a checkbox or radio element","","Wed Apr 29 22:20:22 UTC 2026","passed","Wed Apr 29 22:20:22 UTC 2026","","Actions","",""
"","376",".blur() - blur off a DOM element","","Wed Apr 29 22:20:18 UTC 2026","passed","Wed Apr 29 22:20:18 UTC 2026","","Actions","",""
"","94",".parents() - get parent DOM elements from DOM elements","","Wed Apr 29 22:21:32 UTC 2026","passed","Wed Apr 29 22:21:32 UTC 2026","","Traversal","",""
"","92","invokes a callback function with the current subject","Connectors","Wed Apr 29 22:20:40 UTC 2026","passed","Wed Apr 29 22:20:40 UTC 2026","",".then()","",""
"","203",".children() - get child DOM elements","","Wed Apr 29 22:21:31 UTC 2026","passed","Wed Apr 29 22:21:31 UTC 2026","","Traversal","",""
